id,emoji,description,ocurrences
0,🥛,glass of milk,1
9,😡,pouting face,1
9,😏,smirking face,1
10,🥰,smiling face with hearts,3
16,🙌,raising hands,2
16,🔬,microscope,1
25,😅,grinning face with sweat,1
26,▶️,play button,1
28,👏🏻,clapping hands: light skin tone,1
28,⛰️,mountain,1
28,🇪🇦,flag: Ceuta & Melilla,1
32,🔋,battery,1
34,🇪🇸,flag: Spain,1
34,🏁,chequered flag,1
34,👊,oncoming fist,1
35,🔴,red circle,1
36,⛰️,mountain,1
36,💪,flexed biceps,1
39,📸,camera with flash,1
39,⛰️,mountain,1
40,🖥,desktop computer,1
40,👉,backhand index pointing right,1
43,🏁,chequered flag,1
43,🚀,rocket,1
43,↔️,left-right arrow,1
43,🇪🇦,flag: Ceuta & Melilla,1
44,🖥,desktop computer,1
44,👉,backhand index pointing right,1
45,🇪🇸,flag: Spain,1
53,🇪🇸,flag: Spain,1
57,📺,television,1
57,🏁,chequered flag,1
57,⏰,alarm clock,1
57,🛣️,motorway,1
57,⛰️,mountain,1
57,🚩,triangular flag,1
57,🎤,microphone,1
57,🇧🇷,flag: Brazil,1
57,🚴,person biking,1
57,🎙️,studio microphone,1
60,🔋,battery,1
60,💪,flexed biceps,1
60,👀,eyes,1
66,🏁,chequered flag,1
66,🚩,triangular flag,1
66,🚴🏽‍♂️,man biking: medium skin tone,1
66,🕔,five o’clock,1
68,📸,camera with flash,1
68,▶️,play button,1
70,🔴,red circle,1
70,🎢,roller coaster,1
70,🟢,green circle,1
70,Ⓜ️,circled M,1
75,💥,collision,1
75,🏁,chequered flag,3
75,⛰️,mountain,1
75,🇫🇷,flag: France,1
75,💨,dashing away,1
76,🏁,chequered flag,1
76,🚩,triangular flag,1
76,🛣️,motorway,1
76,📍,round pushpin,1
76,➡️,right arrow,1
76,🇪🇸,flag: Spain,1
77,🤷‍♂️,man shrugging,1
77,🇸🇪,flag: Sweden,1
80,🏆,trophy,2
87,😂,face with tears of joy,4
99,🧵,thread,1
99,⬇️,down arrow,1
102,✍,writing hand,1
104,👇,backhand index pointing down,1
106,🔴,red circle,1
106,💪,flexed biceps,1
106,ℹ️,information,1
107,🔴,red circle,1
107,💪,flexed biceps,1
107,ℹ️,information,1
114,📢,loudspeaker,1
114,⏰,alarm clock,1
114,👕,t-shirt,1
118,⤵️,right arrow curving down,1
120,😈,smiling face with horns,3
125,😂,face with tears of joy,8
131,🔴,red circle,1
132,🌞,sun with face,1
135,🗞️,rolled-up newspaper,1
136,🚇,metro,1
136,✈️,airplane,1
142,😮‍💨,face exhaling,1
155,🏖️,beach with umbrella,1
155,🌟,glowing star,1
155,🍁,maple leaf,1
155,🤖,robot,1
161,📚,books,1
161,▶,play button,1
161,ℹ,information,1
161,👇,backhand index pointing down,1
165,😄,grinning face with smiling eyes,1
165,👇,backhand index pointing down,1
166,📸,camera with flash,1
169,❤️,red heart,1
169,👍,thumbs up,1
169,💯,hundred points,1
173,🎂,birthday cake,1
173,💛,yellow heart,1
188,😌,relieved face,1
188,🤤,drooling face,1
193,📚,books,1
193,ℹ️,information,1
197,🥱,yawning face,9
200,♨️,hot springs,4
201,❤️,red heart,1
201,👍,thumbs up,1
201,💯,hundred points,1
203,✅,check mark button,3
206,⏱️,stopwatch,1
207,🐮,cow face,1
208,😈,smiling face with horns,1
208,✍️,writing hand,1
209,🔴,red circle,1
211,💪,flexed biceps,1
211,😋,face savoring food,2
218,👌,OK hand,1
218,😋,face savoring food,1
234,😂,face with tears of joy,7
240,😂,face with tears of joy,3
242,💙,blue heart,1
246,😀,grinning face,1
249,😂,face with tears of joy,1
256,⚽,soccer ball,1
256,✅,check mark button,1
256,🏟,stadium,1
287,👇,backhand index pointing down,1
291,👎,thumbs down,1
297,⚽,soccer ball,1
301,😡,pouting face,1
302,⏱️,stopwatch,1
305,📍,round pushpin,1
305,🎫,ticket,1
305,🗓,spiral calendar,1
320,📺,television,1
320,😱,face screaming in fear,1
320,🏹,bow and arrow,1
320,🍾,bottle with popping cork,1
320,🍏,green apple,1
324,💩,pile of poo,5
328,🖕,middle finger,4
353,🤦,person facepalming,2
353,😹,cat with tears of joy,2
355,❤️,red heart,1
355,👍,thumbs up,1
355,💯,hundred points,1
364,👇,backhand index pointing down,1
369,🤠,cowboy hat face,3
377,😉,winking face,1
390,👇🏽,backhand index pointing down: medium skin tone,1
390,🤮,face vomiting,1
390,⭐,star,1
397,😀,grinning face,1
397,😋,face savoring food,1
399,☺️,smiling face,1
399,😜,winking face with tongue,1
399,😋,face savoring food,1
426,🙏,folded hands,1
426,😘,face blowing a kiss,1
426,💛,yellow heart,1
426,💙,blue heart,1
440,📚,books,1
446,👉🏻,backhand index pointing right: light skin tone,2
457,🤤,drooling face,1
461,😂,face with tears of joy,2
463,🌈,rainbow,1
463,✨,sparkles,1
463,🌟,glowing star,1
463,💥,collision,2
463,🇪🇸,flag: Spain,1
463,🥚,egg,1
464,🗣️,speaking head,1
464,😨,fearful face,1
464,🆕,NEW button,1
464,🚨,police car light,2
464,‼️,double exclamation mark,1
471,😍,smiling face with heart-eyes,1
471,✍️,writing hand,1
472,👇,backhand index pointing down,1
475,⚠️,warning,2
475,🔊,speaker high volume,1
481,🙅🏽‍♀️,woman gesturing NO: medium skin tone,3
482,❤️,red heart,1
482,👍,thumbs up,1
482,💯,hundred points,1
492,💙,blue heart,1
492,❤️,red heart,1
493,🆕,NEW button,1
494,🍽,fork and knife with plate,1
494,☎,telephone,1
494,😍,smiling face with heart-eyes,1
494,🥄,spoon,1
495,➰,curly loop,1
502,📰,newspaper,1
507,👉,backhand index pointing right,1
512,👇,backhand index pointing down,1
516,😂,face with tears of joy,3
516,👇,backhand index pointing down,1
531,👏,clapping hands,3
533,👇,backhand index pointing down,1
534,😍,smiling face with heart-eyes,1
547,👉,backhand index pointing right,1
549,🇪🇸,flag: Spain,1
549,🇪🇺,flag: European Union,1
549,👉,backhand index pointing right,1
551,👇,backhand index pointing down,1
554,🎾,tennis,2
554,👏,clapping hands,2
563,🚺,women’s room,1
563,🚹,men’s room,1
563,📷,camera,2
563,🇺🇸,flag: United States,1
565,💪🏻,flexed biceps: light skin tone,1
568,📌,pushpin,1
568,🎼,musical score,1
568,ℹ️,information,1
571,😁,beaming face with smiling eyes,2
571,🇺🇲,flag: U.S. Outlying Islands,1
574,➡️,right arrow,1
578,🤩,star-struck,1
578,💚,green heart,1
578,🙏🏼,folded hands: medium-light skin tone,1
583,👉,backhand index pointing right,1
587,🟩,green square,1
587,📆,tear-off calendar,1
587,🔎,magnifying glass tilted right,1
588,👉,backhand index pointing right,1
588,📆,tear-off calendar,1
592,🤍,white heart,1
592,🌷,tulip,1
592,☘️,shamrock,1
592,💙,blue heart,1
613,😍,smiling face with heart-eyes,1
614,😍,smiling face with heart-eyes,1
628,🧡,orange heart,1
628,🤗,hugging face,1
628,🙋🏻‍♂️,man raising hand: light skin tone,1
629,🌸,cherry blossom,1
634,📸,camera with flash,2
643,🍏,green apple,1
643,📣,megaphone,1
650,🦧,orangutan,1
651,🗣,speaking head,1
656,❤️,red heart,1
656,👍,thumbs up,1
656,💯,hundred points,1
660,🗣,speaking head,1
662,🔗,link,1
662,💻,laptop,1
662,📻,radio,1
666,✅,check mark button,1
666,🐐,goat,1
667,✅,check mark button,1
667,🐐,goat,1
668,📸,camera with flash,1
668,⤵️,right arrow curving down,1
670,👉,backhand index pointing right,1
671,🖤,black heart,1
671,💛,yellow heart,1
671,💙,blue heart,1
671,🏓,ping pong,1
671,❤️,red heart,1
676,🔴,red circle,1
676,👉,backhand index pointing right,1
680,🔗,link,1
680,💻,laptop,1
680,📻,radio,1
684,🔴,red circle,1
686,👉🏻,backhand index pointing right: light skin tone,1
690,😉,winking face,1
695,🥰,smiling face with hearts,1
695,😊,smiling face with smiling eyes,1
695,😄,grinning face with smiling eyes,1
699,💚,green heart,1
700,🎬,clapper board,1
701,😆,grinning squinting face,1
701,😂,face with tears of joy,1
701,🤣,rolling on the floor laughing,1
705,🕺,man dancing,1
705,💃,woman dancing,1
707,👏,clapping hands,1
711,⬇,down arrow,3
717,💪,flexed biceps,1
719,🌹,rose,1
727,🥇,1st place medal,1
727,😄,grinning face with smiling eyes,1
727,🥈,2nd place medal,1
727,🥉,3rd place medal,1
728,✍️,writing hand,1
728,🗓️,spiral calendar,3
730,👌,OK hand,1
735,🎶,musical notes,1
