id,person
1,shakira
2,piqué
2,florentino
3,negreira
9,ramón calderón
10,negreira
11,negreira
11,florentino
11,merengue
12,mina
17,vingegaard
17,landa
19,vingegaard
19,landa
20,murgia
21,gavi
23,vingegaard
23,landa
23,jumbo
24,casemiro
24,gavi
25,vingegaard
25,mikel landa
25,landa
26,vingegaard
26,landa
27,landa
30,mikel landa
30,vingegaard
31,jonas vingegaard
31,mikel
31,landa
33,carletto
46,asperger
46,asperger
53,df martínez
53,vingegaard
55,mikel landa
58,ancelloti
59,camus
71,david aguilar
71,faustino zapico
73,kachopo king
73,paula méndez
79,negreira
79,piqué
83,negreira
87,enorabuena
92,alaba
92,kounde
92,marcos alonso
92,negreira
97,sidra
97,sagardoa
98,tebas
102,aranburu
102,landa
102,alex
102,antzeko
105,bryan owen
108,lucho
111,florentino
117,aitana
120,alonso
122,orbayu gin
123,ana obregón
125,messi
126,andrea
126,hilo
131,ángel garcía moreno
145,pelayo
145,de asturias
146,rafael ramírez
147,rafa palacios
151,ciudadano barbón
164,gavi
166,alicia gonzález blanco
170,vingegaard
170,landa
171,ana la rubia
174,vingegaard
174,landa
174,mikel
174,jonas
174,julio
175,alberto núñez feijóo
175,diego canga
177,pedro pascal
177,daniel rackfield
177,pedro pascal
185,faustino zapico
187,vinicius
187,gavi
190,gluten
192,mateu alemany
198,laura sánchez
199,brian
200,luis enrique
211,plato
212,vingegaard
212,landa
213,landa
213,vingegaard
219,baena
219,bambi
221,sidra
223,baena
223,valverde
224,alex
225,baena
226,valverde
226,baena
226,gavi
227,lionel andres messi cuccitini
227,cr7
228,valverde
234,rey
234,patatin patatan
237,tito floren
237,nacho
237,chukwueze
237,nacho
237,franz beckenbauer
240,zasca
241,gavi
243,luis padrique
247,jesus
251,vingegaard
254,carmen lópez
257,miguel delibes
259,valdés
260,xixón
263,carmen lópez
264,carmen lópez
268,valverde
268,gavi
270,baena
272,federico valverde
273,florentino pérez
274,valverde
274,baena
277,valverde
278,baena
278,valverde
280,baena
284,carmen
284,carmen lópez
286,baena
286,valverde
287,baena
288,sergio buelga
290,barbón
290,zelenski
295,valverde
295,luis enrique
296,valverde
296,lewandoski
298,valverde
302,brunet
304,casona
305,maría daz
306,valverde
306,baena
306,baena
306,bonino
306,valverde
306,suárez
309,adriana lastra
309,barbón
310,valverde
310,baena
313,baena
315,baena
315,valverde
317,baena
324,florentino
325,valverde
325,baena
326,alex baena
328,valverde
328,baena
328,tronquicius
331,baena
331,valverde
331,valverde
333,valverde
333,valverde
333,gavi
333,valverde
334,valverde
334,baena
334,valverde
335,baena
337,baena
337,valverde
338,josé carlos díez
341,josé carlos díez
343,alfredo ojanguren
343,ismael juárez pérez
361,pepe
361,albín
361,albín
365,valverde
369,melendi
377,karlos arguiñano
378,cofiño
378,calvo
380,valverde
385,yoli
391,asturiasnoardelaqueman
397,poteday
411,valverde
413,pepe
417,roncero
422,valverde
422,gimenez
422,gavi
429,alfredo ojanguren
433,baena
434,valverde
434,baena
434,gavi
435,valentina álvarez
435,pilar rodríguez
439,olga mesa
441,maría del socorro tellado lópez
443,taylor
450,josef ajram
451,baena
451,baena
451,valverde
451,baena
452,jose carlos díaz
465,olga mesa
466,olga mesa
483,montse martínez
484,irarragorri
484,orlegi
487,baena
487,florentino
492,gavi
501,alfredo ojanguren
503,josé carlos díez
504,almuzara
505,monika linkyte
508,elches
518,bartomeu
522,potes
529,falangista
529,dominico
535,sidra
538,juan carlos robles
541,ruth álvarez
546,barbón
555,xavi
557,orlegi
559,barbón
560,nuria rodríguez
561,barbón
562,olga mesa
571,kennedy
580,guardiola
583,lourdes álvarez
584,begoña gonzález
586,begoña gonzález
588,alfonso iglesias
594,duro felguera
596,adrián
597,juan miguel feliz
597,herminio menéndez
598,juan josé millás
598,libroviedo
599,marta mori
600,mario
600,mario
601,polaco
604,david guardado
607,xuan cándano
610,baena
610,valverde
616,fede valverde
616,pepe
616,casquero
616,messi
619,al-qaeda
619,osama bin laden
622,maría neira
626,josé manuel feito
627,esther prieto
651,lucía rivera
651,blanca romero
653,ramón del valle inclán
654,ramón g. piñeiro
658,ronaldo icono
660,lucía rivera
660,blanca romero
662,beatriz prieto
668,enol
669,carmen polo
670,mayador
670,origen
672,lola lucio
673,sidra asturiana
674,david guardado
680,beatriz prieto
681,arguiñano
684,lola lucio
687,sidra asturiana
690,aitana castaño
702,josé manuel feito
708,david guardado
711,origen
715,belarra
721,ceballos
721,lan
723,negreira
739,belarra
740,belarra
741,asturiana honara
745,valverde
745,florentino
752,fee reega
758,hugo cerezo
759,hugo cerezo
762,rambalín
763,rambalín
764,tenorio
765,tenorio
786,isaac
787,isaac
792,dimas pereira
792,oihana kortazar
793,dimas pereira
793,oihana kortazar
794,david guardado
795,david guardado
810,ceballos
810,vinicius
810,valverde
811,ceballos
811,vinicius
811,valverde
812,shakespeare
812,víctor suárez
812,xixón
812,cuatru gotes
813,shakespeare
813,víctor suárez
813,xixón
813,cuatru gotes
816,helena gil
817,helena gil
824,gavi
825,gavi
826,gavi
827,gavi
830,os: agustín argüe
830, el xeneral r
831,os: agustín argüe
831, el xeneral r
834,gavi
834,ceballos
834,valverde
835,gavi
835,ceballos
835,valverde
852,césar casado
853,césar casado
860,fali
860,rodrygo
864,cima
865,alfonso zapico
865,"ed astiberri
tetralogía"
868,oscar palacio
871,miguel medina
874,laporta
877,franco
877,laporta
879,laporta
882,héctor gonzález
884,florentino pérez
885,héctor gonzález
886,grado
893,sonia alonso
908,rodrigo cuevas
908,tino casal
909,feijóo
910,florentino pérez
913,william shakespeare
913,víctor suárez
913,xixón
914,haaland
916,joan laporta
916,florentino
918,joan laporta
923,laporta
928,laporta
928,ferreras
928,pedrerol
932,eduardo inda
