Topic,Words,Frequency,Timestamp
-1,"jbalvin, malumayomellamo, decadence, mundialqatar2022, resident",1,2022-11-17
-1,"mundialqatar2022, ecuador, much, can, so",1,2022-11-20
0,"m1l54jwg4k, mundialqatar2022, canvas, scorer, dirt",1,2022-11-20
82,"bangladesh, messi, worldcupqatar2022, dnxfsyvgf5, tilcara",1,2022-11-28
-1,"argentinapolonia, p3oex7arzd, coloradomufa, qatar2022, mundialqatar2022",1,2022-11-30
6,"momentary, mundialqatar2022, germany, spaniards, costa",1,2022-12-01
10,"copadomundo2022, worldcup2022, ceni, dribbling, rogério",1,2022-12-03
33,"australians, mundialqatar2022, mala, soccer, hate",1,2022-12-03
10,"worldcup2022, croatian, croats, brazilians, neymar",1,2022-12-11
0,"mundial2022, fifaworldcupqatar2022, estamosenlafinal, croacia, j5h3xv54kh",1,2022-12-13
-1,"znrrgxb3bo, vamosaraña, citygroup, vamosargentina, chavofuchs",1,2022-12-15
-1,"argentinacampeon, mundialqatar2022, frustration, resentment, ricotta",1,2022-12-19
-1,"shakira, al, upd2uwh7nq, uuuuggggggggggggg, ysy",2,2023-01-12
-1,"shakira, mayers, maluma, tota, bryan",2,2023-01-13
-1,"shakira, bicoca, oy, renata, guajira",2,2023-01-14
17,"barn, owl, neymar, mmmmm, eyelet",1,2023-01-14
-1,"shakira, horns, choruses, chapuapaolaza, drqmsejcue",2,2023-01-16
-1,"shakira, slutty, u2tngufqty, buenprovechomanabí, amoeba",2,2023-01-17
1,"lomazo, nailed, shakira, roll, fat",1,2023-01-18
-1,"piqué, qfwia8gnpq, ymaxamzf6t, babo, shaggy",2,2023-01-19
-1,"2hl1gsw0ba, pique, shakira, known, boob",1,2023-01-20
18,"boy5nanq4n, shakirabzrp, shortage, shakira, gentlemen",1,2023-01-20
29,"82ok8rooty, billed, cows, every, memes",1,2023-01-20
-1,"shakira, yesthtqudc, ezgakratxa, bagpipe, song",2,2023-01-21
-1,"conlacomidano, jw3twleomf, listeners, sanbenito, poncho",2,2023-01-22
27,"piqué, a8qqkldwot, mjkibntkpl, clara, twingo",2,2023-01-22
-1,"s9800eohjo, redinformativa, listeners, sanbenito, surpassing",1,2023-01-23
27,"chía, gerard, piqué, clara, dating",3,2023-01-23
-1,"piqué, shakira, propagandizing, bomzhw0ygm, spleosrdqu",3,2023-01-24
27,"chía, gerard, piqué, clara, physical",5,2023-01-24
49,"n3q62pk9lr, fzfrgozm7p, telegram, shakira, vip",1,2023-01-24
27,"gili, qehtqjn7v8, chía, gerard, piqué",1,2023-01-25
30,"panicked, shakira, consumed, longer, thank",1,2023-01-25
38,"curled, ice, creamed, cream, freezer",1,2023-01-25
-1,"shakira, rearranged, wither, jhayco, rauw",2,2023-01-26
-1,"shakira, csapvmgnid, 90bzvs5bf7, megahit, riquelmista",2,2023-01-27
-1,"shakira, mathematic, atefczypwq, krwdxlmvsf, breakup",4,2023-01-28
4,"niuls, itchy, overwhelming, archer, ball",1,2023-01-28
-1,"hfxtrqaohe, shakira, chef, juan, jam",1,2023-01-29
0,"colombia, spain, oligarchy, investigations, outraged",1,2023-01-30
10,"nicacio, prior, pique, manu, voting",1,2023-01-30
-1,"uv5jocfrt8, cuckolds, immense, damage, shakira",1,2023-01-31
0,"l6yddzfpfg, colombia, cocaine, shakira, bill",1,2023-01-31
-1,"wz62tabcro, shakira, brazilian, kkkk, pass",1,2023-02-01
5,"u6cb1v2eye, pike, exhaustion, fainted, dps",1,2023-02-01
-1,"go8yihifth, 46, shakira, old, years",1,2023-02-02
27,"zm0nbsvyye, chía, gerard, piqué, dates",1,2023-02-03
-1,"i7aumqubgf, rvczluamn5, humor, shakira, cries",2,2023-02-04
11,"enngie_53, ac8su7xlhq, ramirezdanthe, pornm3xmid, izraelmerino",1,2023-02-06
-1,"sssss, terzolo, venj9krzkh, b6bdm6d9ol, reggaeton",3,2023-02-07
-1,"shakira, vizinho, taa7qpku5v, clwawasjph, hahahajjjjj",3,2023-02-08
11,"f0ftdtijn3, pornm3xmid, izraelmerino, elpajaritodetwt, horchatascdmx",1,2023-02-08
27,"o8fll8tn9a, chía, unrecognizable, dating, piqué",1,2023-02-08
11,"pornm3xmid, izraelmerino, elpajaritodetwt, horchatascdmx, gaypornxxx13",2,2023-02-09
11,"jbmxbzacay, pornm3xmid, izraelmerino, elpajaritodetwt, horchatascdmx",1,2023-02-10
5,"pikes, car, furious, nd, cursed",1,2023-02-11
-1,"orsini, bite, injured, impressive, hahaha",1,2023-02-12
-1,"august, shakira, aged, carton, song",1,2023-02-13
12,"purpurine, fiy, crs, fd, beat",1,2023-02-13
-1,"shakira, blurt, breathes, granulated, kola",2,2023-02-15
-1,"1jimzgt8hw, unprecedented, antis, madrid, turra",1,2023-02-16
-1,"shakira, performance, 53rd, qeytk3taly, singer",2,2023-02-17
-1,"misco, jones, kon, sting, pico",2,2023-02-19
12,"assaulted, immediately, mention, certain, beat",1,2023-02-19
-1,"preservation, culture, plus, cutting, edge",2,2023-02-20
-1,"5c8ln9bcpi, ameiii, taki, rave, funk",2,2023-02-21
-1,"9aedrbxi2a, cordobes, 0or13s1o4t, gh, liga",2,2023-02-22
15,"hbkglafcwa, cereal, session, shakira, spoons",1,2023-02-22
-1,"palmira, pique, nueva, pastries, dulce",1,2023-02-23
-1,"drgrpbts90, shakira, man, full, ass",1,2023-02-24
85,"jaajajajajjajjajja, mie, 5nz5keghpk, piqué, cut",1,2023-02-24
-1,"sjq4bkyunh, reggaeton, hips, rhythm, shakira",1,2023-02-25
-1,"clarachia, shakirabzrpmusicsessionsvol53, tiraera, anuelaa, yailinlamasviral",2,2023-02-26
-1,"shakira, touches, aesthetic, 1yrzwhdxok, lad35bwocy",4,2023-02-27
-1,"jeeta, pedrerol, barsa, darío, et",1,2023-03-02
0,"negreiragate, barcagate, themselves, stoking, obsessive",1,2023-03-02
2,"negreira, month, 000, 20, pudding",1,2023-03-02
6,"hotelier, kangaroo, fetuses, laporta, owed",1,2023-03-05
-1,"elchiringuitodemega, chiringuitobarcelona, culé, christmas, negreira",1,2023-03-07
0,"negreira, odgzhmvm7z, blinds, retires, prosecutor",1,2023-03-08
0,"8l5owe6c8z, rossel, bartomeu, laporte, denounced",1,2023-03-10
6,"ezocl0wxuz, extremist, malicious, nou, camp",1,2023-03-11
-1,"casemiro, negreira, premier, path, kicked",1,2023-03-12
9,"ha, laligasantander, mamés, shivering, negreira",1,2023-03-12
6,"negreira, veña, tricking, sewers, dreaded",2,2023-03-13
9,"txapotista, felon, barsa, communism, survive",1,2023-03-13
6,"negreira, 0kvflxhxgj, dialectics, confidencial, jlwu1jfs9c",2,2023-03-14
6,"fc, headline, barcelona, asaltan, asalta",1,2023-03-15
0,"a12, forecast, negreira, entire, farm",1,2023-03-19
6,"barça, som, rztwhz8uwt, merengue, florentino",1,2023-03-19
-1,"milk, and, https, co, with",1143,2023-04-04
0,"price, of, the, dairy, in",83,2023-04-04
1,"coffee, with, milk, sugar, drink",81,2023-04-04
2,"pudding, rice, mom, make, grandmother",65,2023-04-04
3,"healthy, lifestyle, eating, health, life",43,2023-04-04
4,"bad, what, people, milk, have",34,2023-04-04
5,"hit, car, crashed, had, head",38,2023-04-04
6,"osasuna, mamés, chelsea, soccer, bad",19,2023-04-04
7,"latte, matcha, cold, croissants, fanta",31,2023-04-04
8,"donation, breast, 7yknxxugvy, muihacm99k, hwfxakyneh",5,2023-04-04
9,"asturian, enrollment, launches, languages, asturias",22,2023-04-04
10,"penalty, beaten, cristiano, kick, by",18,2023-04-04
11,"putas, 100, ll, yes, cumtribute",13,2023-04-04
12,"beat, nothing, up, beats, gets",24,2023-04-04
13,"lactose, free, intolerant, light, ordered",24,2023-04-04
14,"chocolate, vanilla, fresh, dark, white",18,2023-04-04
15,"cereal, cereals, first, before, then",18,2023-04-04
16,"almond, milk, assk, 2kx800vnvv, umns8fqkos",21,2023-04-04
17,"cock, dick, hard, my, want",22,2023-04-04
18,"video, videos, rt, pumping, ass",13,2023-04-04
19,"pump, pumping, pcgnt6mgwf, cristianking971, uimjoq9esj",14,2023-04-04
20,"milkshake, egpeibtalk, lnuxyb2its, ivieyubi2e, 1wicn9lkhp",10,2023-04-04
21,"people, bad, are, mi, comments",16,2023-04-04
22,"k4zxlch2se, x0pykp3deb, vlikcy3ko4, jglljs67rg, iozhmayvj8",5,2023-04-04
23,"condensed, strawberries, slushies, seasoning, jurasic",21,2023-04-04
24,"wants, 0yyaeynfdn, cgiroftama, qefoosalk9, 9xwggvh1oh",10,2023-04-04
27,"physical, change, rotation, escamoso, ventino",9,2023-04-04
28,"shake, protein, peanut, workout, muscle",13,2023-04-04
29,"sinleche, veganfta, cow, vaquitas, cows",5,2023-04-04
30,"dulce, de, leche, luases, gondor",12,2023-04-04
31,"painted, as, cow, bad, is",8,2023-04-04
32,"baby, breastfeeding, breast, mom, rulo",12,2023-04-04
33,"mala, leche, o0zhp4hn1s, zs3ghylotp, altieri",9,2023-04-04
34,"ass, 5sfi4gdto6, cxramy9pqg, tayl, bwr1gpywgv",8,2023-04-04
35,"brother, sisters, sister, bezos, bookdepo",6,2023-04-04
